Iteration,Discriminator Loss,Generator Loss
0,0.882576,0.697271
10,0.622515,0.837154
20,0.627825,1.187462
30,1.218650,0.871464
40,1.636387,0.801615
50,1.354699,0.791466
60,1.416173,0.550388
70,1.346011,0.684894
80,1.355795,0.609018
90,1.361537,0.576567
100,1.330046,0.633235
110,1.350970,0.582029
120,1.319540,0.638901
130,1.273913,0.704453
140,1.344911,0.589741
150,1.341125,0.627614
160,1.350328,0.608234
170,1.354746,0.747967
180,1.397051,0.576478
190,1.374108,0.661861
200,1.399018,0.604243
210,1.353966,0.639522
220,1.391109,0.728485
230,1.383990,0.614847
240,1.390265,0.612434
250,1.378410,0.614827
260,1.387470,0.562879
270,1.394589,0.584489
280,1.386395,0.679308
290,1.403378,0.773865
300,1.364697,0.686078
310,1.383054,0.702768
320,1.377106,0.662487
330,1.371288,0.616797
340,1.369887,0.637582
350,1.379993,0.601978
360,1.362599,0.671498
370,1.371745,0.732331
380,1.392195,0.580099
390,1.385974,0.697923
400,1.379633,0.647768
410,1.375039,0.633126
420,1.390583,0.719176
430,1.386924,0.628048
440,1.371636,0.701001
450,1.372685,0.705234
460,1.385407,0.671064
470,1.381128,0.861984
480,1.345016,0.673130
490,1.394438,0.736235
500,1.392561,0.754033
510,1.385785,0.715408
520,1.372982,0.779009
530,1.390790,0.626522
540,1.380235,0.655631
550,1.383168,0.665316
560,1.390766,0.592058
570,1.366063,0.750195
580,1.386880,0.606979
590,1.373527,0.702893
600,1.376684,0.725041
610,1.382263,0.708543
620,1.370267,0.625297
630,1.375147,0.669806
640,1.371057,0.721930
650,1.378573,0.639620
660,1.373752,0.708591
670,1.388470,0.674868
680,1.378761,0.754506
690,1.376962,0.640395
700,1.368251,0.691209
710,1.367395,0.745667
720,1.390583,0.642314
730,1.376651,0.644559
740,1.370876,0.695660
750,1.349581,0.803212
760,1.387821,0.646126
770,1.379389,0.666994
780,1.341952,0.612791
790,1.372344,0.677492
800,1.366380,0.654839
810,1.393886,0.682827
820,1.399453,0.591628
830,1.374744,0.671550
840,1.361631,0.510626
850,1.389838,0.750852
860,1.294340,0.651381
870,1.305269,0.560711
880,1.371996,0.554857
890,1.381240,0.770538
900,1.303799,0.552637
910,1.238181,0.500440
920,1.356017,0.686349
930,1.342201,0.586929
940,1.406053,0.551755
950,1.250982,0.515405
960,1.347512,0.658386
970,1.357738,0.680109
980,1.372528,0.676275
990,1.284666,0.537121
1000,1.333063,0.725518
1010,1.370941,0.542249
1020,1.381667,0.676032
1030,1.388593,0.854557
1040,1.382954,0.599489
1050,1.325801,0.712771
1060,1.333648,0.653968
1070,1.343330,0.803055
1080,1.331627,0.867168
1090,1.380558,0.566498
1100,1.302885,0.593212
1110,1.378719,0.641394
1120,1.355122,0.763344
1130,1.361498,0.621737
1140,1.407919,0.947452
1150,1.268789,0.637659
1160,1.163698,0.393797
1170,1.388569,0.691797
1180,1.361049,0.555625
1190,1.373454,0.720208
1200,1.384833,0.590663
1210,1.344634,0.496439
1220,1.274505,0.422992
1230,1.356661,0.523046
1240,1.348230,0.611351
1250,1.262749,0.469723
1260,1.209635,0.619528
1270,1.149412,0.328634
1280,1.350412,0.662078
1290,1.384354,0.589116
1300,1.229059,0.506378
1310,1.243938,0.540891
1320,1.417866,0.566859
1330,1.260057,0.550945
1340,1.393218,0.518606
1350,1.308895,0.578876
1360,1.210503,0.430790
1370,1.306824,0.614715
1380,1.335687,0.564256
1390,1.354053,0.641213
1400,1.354080,0.565612
1410,1.382881,0.491015
1420,1.293758,0.574608
1430,1.178955,0.647942
1440,1.204537,0.581638
1450,1.359893,0.492317
1460,1.204712,0.581439
1470,1.228758,0.588033
1480,1.378029,0.513224
1490,1.411623,0.576416
1500,1.218326,0.628688
1510,1.297636,0.627279
1520,1.177703,0.460730
1530,1.205716,0.687537
1540,1.218239,0.574379
1550,1.309282,0.515939
1560,1.291890,0.544578
1570,1.152896,0.423725
1580,1.132978,0.612739
1590,1.361319,0.581667
1600,1.243785,0.550629
1610,1.373466,0.551692
1620,1.257680,0.483231
1630,1.230357,0.780185
1640,1.354149,0.633155
1650,1.293840,0.495192
1660,1.359620,0.588241
1670,1.269430,0.684991
1680,1.296859,0.505683
1690,1.365805,0.634983
1700,1.274267,0.505456
1710,1.194449,0.807828
1720,1.117632,0.576594
1730,1.308702,0.606288
1740,1.256575,0.580729
1750,1.299257,0.592287
1760,1.343374,0.517392
1770,1.338272,0.494467
1780,1.306011,0.501843
1790,1.381276,0.568498
1800,1.057593,0.601520
1810,1.304663,0.489113
1820,1.353822,0.610742
1830,1.171938,0.591526
1840,1.222293,0.679559
1850,1.293791,0.539320
1860,1.239095,0.713626
1870,1.325576,0.517388
1880,1.262135,0.690998
1890,1.307072,0.554663
1900,1.205419,0.575150
1910,1.338086,0.793523
1920,1.136975,0.492899
1930,1.341425,0.503882
1940,1.017143,0.233180
1950,1.025521,0.447043
1960,1.273672,0.584326
1970,1.170580,0.662314
1980,0.982344,0.594144
1990,1.031143,0.371773
2000,1.186340,0.369948
2010,1.083340,0.436658
2020,1.243460,0.723431
2030,1.295185,0.541738
2040,1.258219,0.748260
2050,1.347672,0.617795
2060,1.402349,0.399623
2070,1.364307,0.692603
2080,1.092538,0.588483
2090,1.399834,0.509533
2100,1.113900,0.592162
2110,1.296354,0.712700
2120,1.316324,0.655307
2130,0.601015,0.051520
2140,0.145177,2.999460
2150,1.340308,0.809292
2160,1.369316,0.528467
2170,1.392700,0.488865
2180,1.340252,0.493124
2190,1.340912,0.605938
2200,1.351023,0.605298
